decoder,decoded_int,success,cap_hit,stop_reason,alarm,trigger_metric,components_generated,membership_queries,latent_hypotheses_available,latent_queues_touched,valid_witnesses,unique_candidates,complete_marginal_candidates,state_word_metric_evals,bit_metric_accumulations,osd_reprocessings,bch_decode_attempts,preprocessing_state_metrics,wall_seconds,first_component_gap,queue_touch_fraction,frame_uid,code_id,family,n,k,rate,condition,snr_db,true_label,transmitted_int,decoded_correct,trigger_threshold
event_state_sweep_chase_bch,8.294824997057563e+18,True,False,no_alarm_accept_no_slip,False,1.1296672139683572,22,0,1,1,1,1,1,1,64,0,22,1,0.006634764024056494,,1.0,BCH64_45_no_slip_t7,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8294824997057562716,True,1.6668146288795762
normal_code_decoder,1.305541926850204e+19,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.0060971659841015935,,1.0,BCH64_45_no_slip_t8,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13055419268502041379,True,1.6668146288795762
event_ls_first,1.305541926850204e+19,True,False,no_alarm_accept_no_slip,False,0.7994879031139387,22,0,1,1,1,1,1,1,64,0,22,1,0.006128047010861337,,1.0,BCH64_45_no_slip_t8,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13055419268502041379,True,1.6668146288795762
event_ls_adaptive_l2,1.305541926850204e+19,True,False,no_alarm_accept_no_slip,False,0.7994879031139387,22,0,1,1,1,1,1,1,64,0,22,1,0.006128047010861337,,1.0,BCH64_45_no_slip_t8,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13055419268502041379,True,1.6668146288795762
event_state_sweep_osd,1.305541926850204e+19,True,False,no_alarm_accept_no_slip,False,0.7994879031139387,22,0,1,1,1,1,1,1,64,0,22,1,0.006128047010861337,,1.0,BCH64_45_no_slip_t8,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13055419268502041379,True,1.6668146288795762
event_state_sweep_chase_bch,1.305541926850204e+19,True,False,no_alarm_accept_no_slip,False,0.7994879031139387,22,0,1,1,1,1,1,1,64,0,22,1,0.006128047010861337,,1.0,BCH64_45_no_slip_t8,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,13055419268502041379,True,1.6668146288795762
normal_code_decoder,7.246569964008346e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.009034991031512618,,1.0,BCH64_45_no_slip_t9,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,7246569964008345623,True,1.6668146288795762
event_ls_first,7.246569964008346e+18,True,False,no_alarm_accept_no_slip,False,1.050721265798753,22,0,1,1,1,1,1,1,64,0,22,1,0.009091924061067402,,1.0,BCH64_45_no_slip_t9,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,7246569964008345623,True,1.6668146288795762
event_ls_adaptive_l2,7.246569964008346e+18,True,False,no_alarm_accept_no_slip,False,1.050721265798753,22,0,1,1,1,1,1,1,64,0,22,1,0.009091924061067402,,1.0,BCH64_45_no_slip_t9,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,7246569964008345623,True,1.6668146288795762
event_state_sweep_osd,7.246569964008346e+18,True,False,no_alarm_accept_no_slip,False,1.050721265798753,22,0,1,1,1,1,1,1,64,0,22,1,0.009091924061067402,,1.0,BCH64_45_no_slip_t9,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,7246569964008345623,True,1.6668146288795762
event_state_sweep_chase_bch,7.246569964008346e+18,True,False,no_alarm_accept_no_slip,False,1.050721265798753,22,0,1,1,1,1,1,1,64,0,22,1,0.009091924061067402,,1.0,BCH64_45_no_slip_t9,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,7246569964008345623,True,1.6668146288795762
normal_code_decoder,4.927413033272674e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.00604453100822866,,1.0,BCH64_45_no_slip_t10,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,4927413033272674438,True,1.6668146288795762
event_ls_first,4.927413033272674e+18,True,False,no_alarm_accept_no_slip,False,0.9434394139428839,22,0,1,1,1,1,1,1,64,0,22,1,0.00607729097828269,,1.0,BCH64_45_no_slip_t10,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,4927413033272674438,True,1.6668146288795762
event_ls_adaptive_l2,4.927413033272674e+18,True,False,no_alarm_accept_no_slip,False,0.9434394139428839,22,0,1,1,1,1,1,1,64,0,22,1,0.00607729097828269,,1.0,BCH64_45_no_slip_t10,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,4927413033272674438,True,1.6668146288795762
event_state_sweep_osd,4.927413033272674e+18,True,False,no_alarm_accept_no_slip,False,0.9434394139428839,22,0,1,1,1,1,1,1,64,0,22,1,0.00607729097828269,,1.0,BCH64_45_no_slip_t10,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,4927413033272674438,True,1.6668146288795762
event_state_sweep_chase_bch,4.927413033272674e+18,True,False,no_alarm_accept_no_slip,False,0.9434394139428839,22,0,1,1,1,1,1,1,64,0,22,1,0.00607729097828269,,1.0,BCH64_45_no_slip_t10,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,4927413033272674438,True,1.6668146288795762
normal_code_decoder,9.083336834316286e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.007072712993249297,,1.0,BCH64_45_no_slip_t11,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,9083336834316285821,True,1.6668146288795762
event_ls_first,9.083336834316286e+18,True,False,no_alarm_accept_no_slip,False,0.9938024653248307,22,0,1,1,1,1,1,1,64,0,22,1,0.007109366008080542,,1.0,BCH64_45_no_slip_t11,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,9083336834316285821,True,1.6668146288795762
event_ls_adaptive_l2,9.083336834316286e+18,True,False,no_alarm_accept_no_slip,False,0.9938024653248307,22,0,1,1,1,1,1,1,64,0,22,1,0.007109366008080542,,1.0,BCH64_45_no_slip_t11,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,9083336834316285821,True,1.6668146288795762
event_state_sweep_osd,9.083336834316286e+18,True,False,no_alarm_accept_no_slip,False,0.9938024653248307,22,0,1,1,1,1,1,1,64,0,22,1,0.007109366008080542,,1.0,BCH64_45_no_slip_t11,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,9083336834316285821,True,1.6668146288795762
event_state_sweep_chase_bch,9.083336834316286e+18,True,False,no_alarm_accept_no_slip,False,0.9938024653248307,22,0,1,1,1,1,1,1,64,0,22,1,0.007109366008080542,,1.0,BCH64_45_no_slip_t11,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,9083336834316285821,True,1.6668146288795762
normal_code_decoder,1.4495583254167503e+19,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.008767827064730227,,1.0,BCH64_45_no_slip_t12,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,14495583254167503408,True,1.6668146288795762
event_ls_first,1.4495583254167503e+19,True,False,no_alarm_accept_no_slip,False,0.9646857621467007,22,0,1,1,1,1,1,1,64,0,22,1,0.00884634000249207,,1.0,BCH64_45_no_slip_t12,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,14495583254167503408,True,1.6668146288795762
event_ls_adaptive_l2,1.4495583254167503e+19,True,False,no_alarm_accept_no_slip,False,0.9646857621467007,22,0,1,1,1,1,1,1,64,0,22,1,0.00884634000249207,,1.0,BCH64_45_no_slip_t12,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,14495583254167503408,True,1.6668146288795762
event_state_sweep_osd,1.4495583254167503e+19,True,False,no_alarm_accept_no_slip,False,0.9646857621467007,22,0,1,1,1,1,1,1,64,0,22,1,0.00884634000249207,,1.0,BCH64_45_no_slip_t12,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,14495583254167503408,True,1.6668146288795762
event_state_sweep_chase_bch,1.4495583254167503e+19,True,False,no_alarm_accept_no_slip,False,0.9646857621467007,22,0,1,1,1,1,1,1,64,0,22,1,0.00884634000249207,,1.0,BCH64_45_no_slip_t12,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,14495583254167503408,True,1.6668146288795762
normal_code_decoder,1.7468900878974347e+19,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.00972067005932331,,1.0,BCH64_45_no_slip_t13,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,17468900878974348182,True,1.6668146288795762
event_ls_first,1.7468900878974347e+19,True,False,no_alarm_accept_no_slip,False,1.3158195783102848,22,0,1,1,1,1,1,1,64,0,22,1,0.009812861098907888,,1.0,BCH64_45_no_slip_t13,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,17468900878974348182,True,1.6668146288795762
event_ls_adaptive_l2,1.7468900878974347e+19,True,False,no_alarm_accept_no_slip,False,1.3158195783102848,22,0,1,1,1,1,1,1,64,0,22,1,0.009812861098907888,,1.0,BCH64_45_no_slip_t13,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,17468900878974348182,True,1.6668146288795762
event_state_sweep_osd,1.7468900878974347e+19,True,False,no_alarm_accept_no_slip,False,1.3158195783102848,22,0,1,1,1,1,1,1,64,0,22,1,0.009812861098907888,,1.0,BCH64_45_no_slip_t13,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,17468900878974348182,True,1.6668146288795762
