case_id,trial_uid,n,k,rate,family,snr_db,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,phase_innovation_std_deg,phase_initial_std_deg,assumed_noise_offset_db,true_state_label,model_contains_true_path,state_hypothesis_count,code_replicate,trial_index,transmitted_int,decoder,decoded_correct,decoded_int,success,certified,cap_hit,stop_reason,components_generated,membership_queries,latent_hypotheses_available,latent_queues_touched,valid_codewords,unique_candidates,complete_marginal_candidates,state_word_metric_evals,bit_metric_accumulations,osd_reprocessings,preprocessing_state_metrics,wall_seconds,queue_touch_fraction
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t5,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,5,3006281097,lsgrand_certified_v1_bound,True,3006281097,True,True,False,strict_unseen_codeword_certificate,416,416,31,31,1,1,0,416,13312,0,31,0.00514832092449069,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t6,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,6,3606523191,ls_first_valid,True,3606523191,True,False,False,valid_list_complete,9,9,31,7,1,1,0,0,0,0,31,0.0009108519880101085,0.22580645161290322
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t6,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,6,3606523191,ls_list_marginal_L2,True,3606523191,True,False,False,valid_list_complete,16581,13266,31,31,5,2,2,62,1984,0,62,0.1762573990272358,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t6,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,6,3606523191,ls_list_marginal_L4,True,3606523191,True,False,False,valid_list_complete,22332,17704,31,31,7,4,4,124,3968,0,62,0.243866857024841,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t6,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,6,3606523191,ls_list_marginal_L8,True,3606523191,True,False,True,query_cap_before_list,25000,19727,31,31,8,5,5,155,4960,0,62,0.3241479230346158,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t6,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,6,3606523191,latent_osd_batch_o2_s31,True,3606523191,True,False,False,best_marginal_in_osd_union,1736,0,31,31,874,874,874,27094,867008,1736,31,0.0854472869541496,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t6,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,6,3606523191,plain_osd_batch_o2,False,3559820108,True,False,False,best_marginal_in_osd_union,56,0,1,1,56,56,56,56,1792,56,1,0.0021583610214293003,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t6,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_3,True,31,0,6,3606523191,lsgrand_certified_v1_bound,True,3606523191,True,True,False,strict_unseen_codeword_certificate,128,128,31,31,1,1,0,128,4096,0,31,0.0022654859349131584,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t7,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,7,1948650201,ls_first_valid,True,1948650201,True,False,False,valid_list_complete,102,97,31,31,1,1,0,0,0,0,31,0.0018249680288136005,1.0
PF32_DENSE_EARLY,PF32_DENSE_EARLY_c0_t7,32,20,0.625,dense,7.0,1.0,0.5,0.2,0.0,0.0,0.0,0.0,slip_3_1,True,31,0,7,1948650201,ls_list_marginal_L2,True,1948650201,True,False,False,valid_list_complete,613,544,31,31,2,2,2,62,1984,0,62,0.007558693992905319,1.0
