n,symbols,apparent_hamming_weight,apparent_error_fraction,hard_grand_log2_rank_lower_bound,latent_family_size,latent_family_log2_size,log2_coordinate_separation_lower_bound,case_id,family,k,rate,code_replicate,trial_id,location_label,location_fraction,tau,direction
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,39,late,0.85,14,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,40,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,41,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,42,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,43,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,44,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,45,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,46,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,47,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,48,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,49,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,50,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,51,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,52,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,53,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,54,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,55,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,56,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,57,middle,0.5,8,3
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,58,middle,0.5,8,1
32,16,8,0.25,22.106253975668807,31,4.954196310386875,17.15205766528193,R32_DENSE,dense,24,0.75,0,59,middle,0.5,8,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,60,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,61,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,62,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,63,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,64,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,65,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,66,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,67,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,68,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,69,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,70,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,71,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,72,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,1,73,early,0.15,2,1
