experiment,case_id,trial_id,n,k,rate,family,snr_db,true_label,states,full_cartesian_pairs,oracle_marginal_int,oracle_joint_int,transmitted_int,oracle_tie,oracle_margin_log,certified,ls_decoded_int,ls_matches_marginal,certificate_verified,first_decoded_int,first_matches_marginal,joint_matches_marginal,marginal_error,joint_error,first_error,direct_probability_check,membership_queries,query_fraction_of_cartesian,latent_queues_touched,queue_touch_fraction,valid_witnesses,unique_codewords_seen,certificate_query_overhead,certificate_margin_log,ls_cap_hit,ls_wall_seconds,first_queries,first_wall_seconds
exactness,E10_SPARSE,42,10,7,0.7,sparse,-1.0,no_slip,9,9216,18,18,18,False,1.2592397627297682,True,18,True,True,18,True,True,False,False,False,True,33,0.0035807291666666665,3,0.3333333333333333,8,8,33.0,0.024288891719301375,False,0.0013944680104032159,1,0.00016413594130426645
exactness,E10_SPARSE,43,10,7,0.7,sparse,1.0,slip_3_3,9,9216,717,717,900,False,0.23824534337729553,True,717,True,True,717,True,True,True,True,True,True,247,0.026801215277777776,9,1.0,39,27,247.0,0.0017695282820504588,False,0.02364334196317941,1,0.00019879895262420177
exactness,E10_SPARSE,44,10,7,0.7,sparse,1.0,no_slip,9,9216,97,97,97,False,2.5929612461924503,True,97,True,True,97,True,True,False,False,False,True,2,0.00021701388888888888,1,0.1111111111111111,1,1,2.0,0.051863784769103916,False,0.00022103404626250267,1,0.0001591260079294443
exactness,E10_SPARSE,45,10,7,0.7,sparse,-1.0,no_slip,9,9216,254,254,214,False,0.20592918071766242,True,254,True,True,254,True,True,True,True,True,True,378,0.041015625,9,1.0,47,32,31.5,0.002562644299755945,False,0.03811689803842455,12,0.000270145945250988
exactness,E10_SPARSE,46,10,7,0.7,sparse,7.0,slip_2_1,9,9216,528,528,623,False,0.00012333793814089944,True,528,True,True,528,True,True,True,True,True,True,164,0.017795138888888888,9,1.0,25,15,13.666666666666666,1.5036429097392556e-06,False,0.010051802033558488,12,0.00022832199465483427
exactness,E10_SPARSE,47,10,7,0.7,sparse,3.0,slip_2_3,9,9216,878,878,1002,False,1.058164945736964,True,878,True,True,878,True,True,True,True,True,True,30,0.0032552083333333335,9,1.0,3,3,6.0,0.01272067521858844,False,0.000634499010629952,5,0.00020638294517993927
exactness,E10_SPARSE,48,10,7,0.7,sparse,-1.0,slip_2_3,9,9216,717,717,737,False,0.12482001234468143,True,717,True,True,717,True,True,True,True,True,True,546,0.059244791666666664,9,1.0,67,34,78.0,0.0009731720306138669,False,0.06477077095769346,7,0.00031823094468563795
exactness,E10_SPARSE,49,10,7,0.7,sparse,3.0,slip_1_3,9,9216,146,146,587,False,0.052295560564457055,True,146,True,True,146,True,True,True,True,True,True,249,0.027018229166666668,9,1.0,32,20,62.25,0.000384858578716063,False,0.01697970402892679,4,0.00020978006068617105
exactness,E10_SPARSE,50,10,7,0.7,sparse,7.0,slip_1_1,9,9216,349,349,498,False,0.00033960384582831793,True,349,True,True,498,False,True,True,True,False,True,68,0.007378472222222222,9,1.0,9,7,8.5,8.180553116687861e-06,False,0.002417064970359206,3,0.00021347205620259047
exactness,E10_SPARSE,51,10,7,0.7,sparse,5.0,no_slip,9,9216,1010,1010,1010,False,2.2203086953571103,True,1010,True,True,1010,True,True,False,False,False,True,2,0.00021701388888888888,1,0.1111111111111111,1,1,2.0,0.12562710213330242,False,0.00022235792130231857,1,0.00019880791660398245
